text,translation,tags
"from a task originating ","",
"here, if you have a ","",
"sand collection zone.  ","",
"Glassmaking requires ","玻璃制造需要燃料。",
"fuel.","",
"Magma below the furnace ","熔炉下方的岩浆将为任务提供动",
"will power tasks.  You ","力。你需要负责将熔炉放置在岩",
"are responsible for ","浆上方，除此之外无需其他燃料。",
"placing the furnace ","",
"above the magma, but no ","",
"other fuel is required.","",
"collection zone.  Magma ","窑炉下方的岩浆将为任务提供动",
"below the kiln will ","力。你需要负责将窑炉放置在岩",
"power tasks.  You are ","浆上方，除此之外无需其他燃料。",
"responsible for placing ","",
"the kiln above the ","",
"magma, but no other ","",
"fuel is required.","",
"Magma below the smelter ","熔炼炉下的岩浆将为任务提供动",
"placing the smelter ","",
"Make metal bars from ","在此将矿石制成金属锭。也可将",
"ore here.  Can also ","煤精炼成可用燃料或制造合金。",
"refine coal into usable ","所有任务都需要燃料。",
"fuel or make alloys.  ","",
"All tasks require fuel.","",
"Make charcoal and ash ","在此将木材制成木炭和灰烬。",
"from wood here.  Does ","无需燃料。",
"not require fuel.","",
"Used to make lye, ","用于制造碱液、草碱和石灰乳。",
"potash, and milk of ","建造需要一个砖块、一个圆桶和",
"lime.  Construction ","一只提桶。",
"requires blocks, ","",
"barrel, and a bucket.","",
"Make crossbows here ","在此用木材或骨骼制造十字弩。",
"from wood or bone.  The ","锻造间可用于制造金属十字弩和",
"metalsmith's forge can ","金属弩箭，而手工艺工坊则用于",
"be used for metal ","制造其他弩箭。",
"crossbows and metal ","",
"bolts, and the crafts ","",
"workshop is used to ","",
"make other bolts.","",
"Make beds and various ","在此制造床和各种家具，以及储",
"furniture here, as well ","物箱、圆桶等。",
"as bins, barrels, and ","",
"Make crafts for trade ","在此制造用于贸易和供自己居民",
"and your own citizens ","使用的工艺品，以及各种工具、",
"here, as well as a ","盔甲和弩箭。",
"variety of tools, ","",
"armor, and bolts.","",
"Cut rough gems here to ","在此切割粗糙宝石以提高其价值，",
"increase their value, ","并通过镶嵌切割好的宝石来提升",
"and improve the value ","其他物品的价值。",
"of other objects by ","",
"encrusting them with ","",
"cut gems.","",
"Forge weapons and armor ","在此锻造武器和盔甲，以及大多",
"here, as well as most ","数其他金属制品（从家具到陷阱",
"other metal objects ","部件）。",
"from furniture to trap ","",
"components.  Magma ","锻炉下方的岩浆将为任务提供动",
"below the forge will ","力。你需要负责将锻炉放置在岩",
"the forge above the ","",
"Make mechanisms here ","在此制造用于制作拉杆、压力板",
"which are used to make ","和齿轮的机械装置。你也可使用",
"levers, pressure ","机械装置将杠杆和压力板与其他",
"plates, and gears.  You ","机械连接起来。",
"can also use mechanisms ","",
"to link levers and ","",
"pressure plates to ","",
"other machinery.","",
"components.  These ","",
"tasks require fuel.","这些任务需要燃料。",
"A useful workshop for ","一个实用的工坊，用于从各种原",
"pressing liquids from ","料中压榨液体。有些植物可能需",
"various sources. Some ","要先研磨才能使用。需要空壶来",
"plants might need to be ","储存液体产品。",
"milled first before ","",
"they can be used.  ","",
"Empty jugs are required ","",
"to store the liquid ","",
"products.","",
"Here you can make parts ","在此你可以制造弩炮和投石机的",
"for ballistae and ","部件。此工坊也是组装弩炮弹药",
"catapults.  This ","的地方。",
"workshop is also the ","",
"place where ballista ","",
"ammo is assembled.","",
"Use tallow (rendered ","在此使用脂油（提炼的脂肪）或",
"fat) or oil here with ","油液与碱液制造肥皂。",
"lye to make soap.","",
"Make stone furniture ","在此制造石质家具，以及用于建",
"here, as well as blocks ","筑的砖块。",
"which are used in ","",
"constructions.","",
"Use options in this ","使用此类别中的选项来放置已在",
"category to place ","工坊构造好的家具。",
"furniture that has ","",
"already been ","",
"constructed in a ","",
"workshop.","",
"Your citizens need a ","你的居民需要一个舒适的睡眠场",
"comfortable place to ","所。床物品必须在木匠铺制作完",
"sleep.  A bed object ","成后才能放置。",
"must be made at the ","",
"carpenter's shop before ","",
"it can be placed.","",
"Chairs are required for ","椅子是办公室运作所必需的，而",
"offices to function, ","桌子旁的椅子是首选的用餐布局。",
"and a chair next to a ","椅子/王座物品必须先制作才能放",
"table is the preferred ","置。",
"dining arrangement.  A ","",
"chair/throne object ","",
"must be made before it ","",
"can be placed.","",
"Tables are required for ","桌子是用餐所必需的。应在桌子",
"dining.  A chair should ","旁放置椅子。桌子物品必须先制",
"be placed adjacent to ","作才能放置。",
"the table.  A table ","",
"object must be made ","",
"before it can be placed.","",
"Chests and coffers are ","箱子和保险箱用于个人卧室存放",
"used in personal ","非服饰物品。它们也用于一些基",
"bedrooms for storing ","于区域的场所（如酒馆、医院和",
"non-clothing objects.  ","图书馆）存放有用材料。箱盒类",
"They are also used in ","",
"some zone-based ","",
"locations like taverns, ","",
"hospitals, and ","",
"libraries for storing ","",
"useful materials.  A ","",
"box object must be made ","",
"Cabinets are used in ","柜子用于个人卧室存放服饰物品。",
"personal bedrooms for ","柜子物品必须先制作才能放置。",
"storing clothing ","",
"objects.  A cabinet ","",
"The dead are buried in ","死者被安葬在棺材中。棺材必须",
"coffins.  Coffins must ","放置在其专属的坟墓区域内才能",
"be placed in their own ","生效。棺材物品必须先制作才能",
"tomb zone in order to ","放置。",
"work.  A coffin object ","",
"Citizens that cannot be ","无法被妥善安葬的居民仍可从石",
"buried properly can ","碑上纪念。石碑在石匠铺制作和",
"still be memorialized ","雕刻。",
"on slabs.  Slabs are ","",
"created and engraved at ","",
"the stoneworker's shop.","",
"Statues can be used to ","雕像可用于装饰你的要塞并为你",
"decorate your fortress ","的房间增添价值。雕像物品必须",
"and add value to your ","先在相应的工坊制作。",
"rooms.  A statue object ","",
"must be made at an ","",
"appropriate workshop ","",
"first.","",
"Certain injuries such ","某些伤害（如重叠式骨折）需要",
"as overlapping ","牵引台等高级医疗装置进行治疗。",
"fractures require ","牵引台物品必须先制作才能放置。",
"advanced medical ","",
"contraptions like the ","",
"traction bench for ","",
"treatment.  A traction ","",
"bench object must be ","",
"made before it can be ","",
"placed.","",
"Codices and scrolls in ","你图书馆中的抄本和卷轴可以存",
"your library can be ","放在书架中。书架物品必须先制",
"stored in bookcases.  A ","作才能放置。",
"bookcase object must be ","",
"Your most valuable ","你最有价值的物品可以放在房间",
"objects can be placed ","中展示，以提升其价值并供路过",
"for display in rooms to ","的居民欣赏。基座或展示柜必须",
"increase their value ","先制作才能放置。",
"and to entertain ","",
"passing citizens.  A ","",
"pedestal or display ","",
"case must be made ","",
"These ornamental ","这些装饰性物品会提升其所在房",
"objects increase the ","间的价值。供奉处物品必须先制",
"value of rooms in which ","作才能放置。",
"they are placed.  An ","",
"offering place object ","",
"Large instruments must ","大型乐器必须放置在酒馆或神庙",
"be placed in taverns or ","中才会被使用。这些乐器必须先",
"temples before they ","在工坊组装完成。",
"will be used.  These ","",
"instruments must be ","",
"assembled at a workshop ","",
"Place doors and hatches ","在相应的工坊建造好门和活板门",
"here after you have ","后，在此放置它们。",
"constructed them in an ","",
"appropriate workshop.","",
"Doors can be used along ","门可与墙壁结合使用以封闭房间，",
"with walls to enclose ","这在同时放置多个功能区时尤为",
"rooms, which is ","重要。门也可被禁用或连接到杠",
"especially important ","杆上，以控制要塞内的通行。",
"when placing multiple ","",
"zones at once.  Doors ","",
"can also be forbidden ","",
"or attached to levers ","",
"to control movement in ","",
"the fort.","",
"Hatches can be placed ","盖板可放置在楼梯井顶部或斜坡",
"at the tops of ","上方，当其被禁用或连接到拉杆",
"stairwells or above ","时，用以控制要塞内的通行。",
"ramps to control ","",
"movement in the fort ","",
"when they are forbidden ","",
"or attached to levers.","",
"Most terrain-altering ","大多数改变地形的建筑结构都可",
"constructions can be ","以在这里找到，从墙壁、地板到",
"found here, from walls ","桥梁、斜坡、楼梯等等。",
"and floors to bridges, ","",
"ramps, stairs, and more.","",
"More complicated ","更复杂的建筑在这里，从水井到",
"buildings from wells to ","动力机械部件，再到杠杆和闸门。",
"powered machine ","",
"components to levers ","",
"and floodgates are ","",
"found here.","",
"Cages, ropes, and ","笼子、绳索和动物陷阱在这里。",
"animal traps are found ","笼子可用于笼陷阱或运输大型动",
"here.  Cages can be ","物。金属笼子和链条也用于司法",
"used in cage traps or ","系统。",
"to transport large ","",
"animals.  Metal cages ","",
"and chains are also ","",
"used by the justice ","",
"system.","",
"Various mechanical ","各种机械陷阱可以在这里找到。",
"traps can be found ","压力板也在这里，其应用不仅限",
"here.  The pressure ","于陷阱。",
"plate is also found ","",
"here, which has ","",
"applications beyond ","",
"traps.","",
"Archery targets, siege ","箭靶、攻城武器和一些装饰性展",
"weapons, and some ","示物品可以在此类别中找到。",
"ornamental display ","",
"items can be found in ","",
"this category.","",
"wood.","",
"Pressure plates, like ","压力板与杠杆类似，用于与机器、",
"levers, are used with ","门、闸门、桥梁、笼子及其他结",
"machines, doors, ","构配合，以改变它们的状态。压",
"floodgates, bridges, ","力板的触发器可以根据生物重量、",
"cages, and other ","流体或矿车通过来设置。",
"structures to change ","",
"are used with ","",
"their state.  The ","",
"trigger for pressure ","",
"plates can be set by ","",
"creature weight, fluid, ","",
"or minecart passage.","",
"Stone-fall traps drop a ","落石陷阱向入侵者投下岩石。必",
"stone on intruders.  ","须装载石块。",
"Must be loaded with ","",
"boulders.","",
"Weapon traps use a ","武器陷阱使用武器或陷阱组件攻",
"weapon or trap ","击入侵者。可与远程武器一起使",
"component to strike ","用并装载弹药。可以同时使用多",
"intruders.  Can be used ","种武器。",
"with ranged weapons and ","",
"loaded with ammo.  Can ","",
"use multiple weapons at ","",
"once.","",
"Cage traps capture ","笼子陷阱将入侵者捕获在笼子中。",
"intruders in cages.  ","必须装载一个笼子。",
"Must be loaded with a ","",
"cage.","",
"Upright weapons are a ","直立尖刺是入侵者跌落的险恶之",
"nasty place for ","处。也可以连接到杠杆或压力板，",
"intruders to fall upon. ","将其升起刺向入侵者。",
"Can also be linked to ","",
"levers or pressure ","",
"plates to raise them ","",
"into intruders.","",
"Archery targets are ","箭靶用于射箭场区域训练射手。",
"used in archery range ","",
"zones for training ","",
"archers.","",
"Ornamental.  Demanded ","装饰品。部分贵族有需求。",
"by some nobles.","",
"A ballista fires a ","弩炮向固定方向发射弩炮大箭。",
"ballista arrow in a ","操作员可以在一个锥形范围内",
"fixed direction.  The ","自由调整瞄准。",
"operator can adjust the ","",
"aim freely within a ","",
"cone.","",
"A catapult fires a ","投石机向固定方向发射岩块。",
"boulder in a fixed ","操作员可以在一个锥形范围内",
"direction.  The ","自由调整瞄准。",
"A bolt thrower fires a ","弩箭投射器能快速发射常规弩",
"regular bolts rapidly.  ","矢。操作员从任意相邻可用地",
"The operator swivels ","块旋转机器。",
"the machine from any ","",
"available adjacent ","",
"tiles.","",
"Start painting a new ","开始绘制新的储物处。选定地块",
"stockpile.  Once the ","后，你将能够设置详细信息。",
"tiles are chosen, ","",
"you'll be able to set ","",
"the details.","",
"Erase a portion of this ","擦除一部分此处的储物处。",
"stockpile.","",
"Remove the stockpile ","永久移除正在绘制的储物处。同",
"being painted ","时移除现有功能区！",
"permanently.  Also ","",
"stockpiles.","结束放置储物处。",
"removes existing zones!","",
"Finish placing zones.","结束放置功能区。",
"Finish establishing ","结束划定活动区。",
"burrows.","",
"Finish setting hauling ","结束设置运输路线。",
"routes.","",
"Finish setting traffic ","结束设置交通区域。",
"areas.","",
"Set a high traffic ","设置高流量交通区域。在宽阔的",
"area.  Use this in wide ","主要通道使用此设置。",
"central passages.","",
"Set a normal traffic ","设置正常交通区域，此为默认状",
"area, the default state.","态。",
"Set a low traffic area. ","设置低流量交通区域。居民将寻",
"Citizens will look for ","找更好的路线。",
"better routes.","",
"Set a restricted ","设置限制通行区域。居民将尽力",
"traffic area.  Citizens ","寻找更好的路线。如果其他路线",
"will look hard for ","不存在或过长，他们仍会使用该",
"better routes.  They ","区域。",
"will still use the area ","",
"if other routes do not ","",
"exist or are too long.","",
"Finish setting ","结束设置物品/建筑指定。",
"item/building ","",
"designations.","",
"Claim a forbidden item ","认领一个被禁用的物品或建筑，",
"or building so it will ","以便你的居民能够使用它。",
"be used by your ","",
"citizens.","",
"Forbid your citizens ","禁止你的居民使用某个物品或建",
"from using an item or ","筑。",
"building.","",
"Designate an item for ","",
"dumping in a dumping ","指定物品在倾倒区进行倾倒。",
"zone.","",
"Remove dumping ","移除倾倒指定。",
"melting at any smelter.","指定物品在任意熔炉进行熔炼。",
"Remove melting ","移除熔炼指定。",
"Remove hidden ","移除隐藏的指定。",
"Hide an item or ","从你的视野中隐藏一个物品或建",
"building from your ","筑。居民仍会使用它。",
"view.  Citizens will ","",
"still use it.","",
"This crucial building ","这种重要的建筑是贸易的总枢纽，",
"is where all trading ","其他文明的载货动物需要一条从",
"will be done.  Pack ","边界到这个建筑的通行路线。在",
"animals from distant ","未来，还需要3格宽的通行路径以",
"civilizations will need ","供马车通行。",
"to access this building ","",
"from the edge of the ","",
"map.  Later, wagons ","",
"will need a clear ","",
"3-wide path to the ","",
"depot.","",
"   * Requires wild colony or","   *需要野生蜂巢或",
"   * Existing hive","   *现有的蜂箱",
"Gather any products","收集任意产品",
"   * Destroys colony","   *破坏蜂巢",
"   * Requires a jug","   *需要一个壶",
"   * Saves colony for split","   *保留蜂巢用于分蜂",
"No outdoor access","没有通向户外的路径",
"Outdoor access","通向户外的路径",
"Not ready to be split","还没准备好分蜂",
"No available colony","没有可用的蜂巢",
"Colony to Install","用于安装的蜂巢",
"Return Colony To Install","带回蜂巢用于安装",
"New handwear","新的手部装备",
"New footwear","新的足部装备",
"New headwear","新的头部装备",
"New legwear","新的腿部装备",
"New bodywear","新的躯干装备",
"Mat","材料",
Thoughts,想法,
Food,食物,[ALIGNMENT:CENTER]
Meat,肉,[ALIGNMENT:CENTER]
Plant,植物,[ALIGNMENT:CENTER]
Drink,酒水,[ALIGNMENT:CENTER]
Other,其他,[ALIGNMENT:CENTER]
Seeds,种子,[ALIGNMENT:CENTER]
Fish,鱼,[ALIGNMENT:CENTER]
Pop,人口,[ALIGNMENT:CENTER]
Tasks,任务,
Workers,工人,
Work orders,工作命令,
Add new task,增加新的任务,
Outpost,哨站,
Hamlet,聚落,
Village,村庄,
Town,城镇,
City,城市,
Metropolis,都会,
Capital,首都,
Mountainhome,山之家,
Created Wealth:,创造的价值：,
Weapons:,武器：,
Furniture:,家具：,
Other Objects:,其他物品：,
Held/Worn:,正在被持有/穿戴：,
Displayed:,正在被展示：,
Armor and Garb:,盔甲与服装：,
Exported Wealth:,出口财富：,
Imported Wealth:,进口财富：,
Architecture:,建筑：,
Video,视频,
Audio,声音,
Game,游戏,
Keybindings,键位绑定,
Announcements,通知,
Difficulty,难度,
Windowed,窗口,
Fullscreen,全屏,
Resolution:,分辨率,
Detect,检测,
 Desired grid height for scaling (default = 64),网格缩放所需高度（默认=64）,
 Desired grid width for scaling (default = 170),网格缩放所需宽度（默认=170）,
Scaling mode,缩放模式,
Done,完成,
Automatic,自动,
Range: ,范围,
No,否,
Yes,是,
Use Classic ASCII glyphs,使用经典ASCII字形,
Graphical FPS cap (default 50),图形帧率上限（默认50）,
Maximum interface percentage (not counting minimap/elevation),最大界面百分比（不包括小地图/高度）,
Window is resizable (takes effect on restart),窗口可调整大小（重启后生效）,
Initial window height (if windowed),初始窗口高度（如果为窗口模式）,
 Interface scaling percentage if not fitting width,界面缩放百分比（如果宽度不适配）,
Initial window width (if windowed),初始窗口宽度（如果是窗口模式）,
Nearest-neighbor,最近邻插值,
Lanczos,Lanczos插值,
Prepare carefully embark confirmation,精心准备开局配置,
Autosave frequency,自动保存频率,
Confirmation window for all embarks,所有开局的配置窗口,
Show tunnels on world map,在世界地图上显示隧道,
Autosave the game after embark,开局后自动保存游戏,
Portable mode,便携模式,
Pause after every autosave,每次自动保存后暂停,
Pause after loading,加载后暂停,
"Enable temperature","开启温度",
"In site finder","在据点查找器中",
"Enable weather","开启天气",
"Enable artifact moods","开启奇异心境",
"Enable caveins","开启塌方",
"Enable testing arena (on next title)","启用测试竞技场（下次标题时生效）",
"Walking spreads spatter (fort mode)","行走传播秽物（要塞模式）",
"Walking spreads spatter (adv mode)","行走传播秽物（冒险模式）",
"Keyboard cursor enabled","开启键盘光标",
"Never","从不",
"Always","总是",
"Log world generation map rejects","记录世界生成地图被拒项",
"Enable multithreading","开启多线程模式",
"Default embark width","默认开局地图宽度",
"Default high traffic path cost","默认高通行优先级路径代价",
"Default embark height","默认开局高度",
"Default normal traffic path cost","默认普通通行优先级路径代价",
"Default low traffic path cost","默认低通行优先级路径代价",
"Default restricted traffic path cost","默认禁止通行优先级路径代价",
