text,translation,tags
"Temperate Saltwater Lake","온대 염수 호수",
"Tropical Saltwater Lake","열대 염수 호수",
"Temperate Freshwater River","온대 담수 강",
"Temperate Brackish River","온대 기수 강",
"Temperate Saltwater River","온대 염수 강",
"Tropical Freshwater River","열대 담수 강",
"Tropical Brackish River","열대 기수 강",
"Tropical Saltwater River","열대 염수 강",
"Subterranean Water","지하수",
"Subterranean Chasm","지하 균열",
"Subterranean Magma","지하 마그마",

"Scarce","부족한",
"Sparse","드문",
"Woodland","보통",
"Heavily Forested","우거진 숲",
"Moderate","보통",
"Thick","많음",
"Multiple Constructions","다중 구성",
"Major River: ","큰 강: ",
"River: ","강: ",
"Minor River: ","작은 강: ",
"Volcano: ","화산: ",
"Mountain: ","산: ",

"신중하게 여정 준비하기 메뉴","-------------------------------------------------------------------------------------",
"Fortress Name","요새 이름",
"Group Name","그룹 이름",
"Group Symbol","그룹 기호",
"Problems","문제",
"Save Profile","프로필 저장",
"Embark!","출발!",
"Your Citizens","당신의 시민",
"Available Skills","사용 가능한 기술",
"skill picks left","남은 스킬 선택",
"skill pick left","스킬 픽 왼쪽",
"Crucial","중대한",
"Points Left: ","남은 포인트: ",
"Your Items","당신의 아이템",
"Your Animals","당신의 동물",
"Available Animals","사용 가능한 동물",
"View","보기",
"Not","예비",
"Novice","평범한",
"Adequate","적당한",
"Competent","능숙한",
"Skilled","숙련된",
"Proficient","능통한",
"Skills (1)","기술 (1)",
"Skills (2)","기술 (2)",
"Skills (3)","기술 (3)",
"Skills (4)","기술 (4)",
"Skills (5)","기술 (5)",
"Skills (6)","기술 (6)",
"Skills (7)","기술 (7)",
"Skills (8)","기술 (8)",
"Skills (9)","기술 (9)",
"Skills (10)","기술 (10)",
