text,translation,tags
"visit, along with any surviving adventurers.","생존한 모험가들도 찾아올 수 있습니다.",
"Directly control a single individual or party.","단일 개인이나 일행을 직접 통제하십시오.",
"Follow destiny or strike out on your own.  ","운명을 따르거나 스스로의 길을 개척하십시오.",
"Explore, quest, fight, and perform.  Visit your ","탐험, 퀘스트, 전투, 공연을 수행하십시오. 당신이",
"own retired and ruined settlements.  Serve a ","은퇴시켰거나 폐허가 된 정착지를 방문하십시오. 신을",
"deity or become a creature of the night.","섬기거나 어둠의 존재가 될 수도 있습니다.",
"You can play a sequence of fortresses and ","동일한 세계에서 여러 요새와 모험가로",
"adventurers in the same world.  Uncover ","연이어 플레이할 수 있습니다. 미래의 요새를",
"locations and artifacts for the benefit of your ","위해 장소와 유물을 발견하고",
"future fortresses.","혜택을 주십시오.",
"Explore and investigate the history of the world ","현재 존재하는 세계의 역사를 탐험하고",
"as it stands.","조사하십시오.",
"Events in other modes are incorporated here.","다른 모드에서의 사건들이 이곳에 반영됩니다.",
"Use world now","지금 세계 사용",
"Continue generating","계속 생성",

"Mods install automatically when chosen during world creation.","세계 생성을 선택하면 모드는 자동으로 설치됩니다.",
"Click a mod to open its folder.","모드를 클릭하면 해당 폴더가 열립니다.",
"Loading...","불러오는 중...",
"Loading world and continuing active game","세계를 불러오는 중이며 진행 중인 게임을 계속합니다",
"Loading data needed to create new world","새로운 세계 생성에 필요한 데이터를 불러오는 중",
"Loading world to start new game","새 게임을 시작하기 위해 세계를 불러오는 중",
"Saving world","세계 저장 중",
"World name","세계 이름",
"Folder","폴더",[ALIGNMENT:CENTER]
"Files","파일",[ALIGNMENT:CENTER]
"Expel","추방",[ALIGNMENT:CENTER]
"Accept","수락",[ALIGNMENT:CENTER]
"File","파일",[ALIGNMENT:CENTER]
"Back","뒤로",[ALIGNMENT:CENTER]
"Cancel","취소",[ALIGNMENT:CENTER]
"Retire","은퇴",[ALIGNMENT:CENTER]
"Abandon","버리기",[ALIGNMENT:CENTER]
"Play now","지금 시작",[ALIGNMENT:CENTER]
"Pause","정지",[ALIGNMENT:CENTER]
"Keep world and return to main menu","세계를 유지한체 메인화면으로 돌아갑니다.",
"Save to this timeline","이 타임라인에 저장",[ALIGNMENT:CENTER]
"Recommended!","권장!",[ALIGNMENT:CENTER]
"Save to new timeline","새 타임라인에 저장",[ALIGNMENT:CENTER]
"Do this if you want to keep the old save.","이전 세이브를 유지하려면 이것을 선택하세요.",[ALIGNMENT:CENTER]
"Save to new folder (same timeline)","새 폴더에 저장 (동일 타임라인)",[ALIGNMENT:CENTER]
"May interfere with existing saves.","기존 세이브와 충돌할 수 있습니다.",[ALIGNMENT:CENTER]
"What would you like to name this manual","이 수동 세이브의 이름을 무엇으로",
"save?  It will never be overwritten,","하시겠습니까? 이 파일은 덮어씌워지지 않지만,",
"but you can delete it while loading.","불러오기 화면에서 삭제할 수 있습니다.",
"Really retire?  The world will be saved but","정말로 은퇴하시겠습니까? 세계는 유지되지만,",
"you will need to unretire the fort to play","이곳에서 다시 플레이하려면 요새 복귀를",
"here again.","해야 합니다",
"Really quit?  The fort will be saved but","정말로 버리시겠습니까? 요새는 폐허로 남지만,",
"you will need to reclaim the fort to play","이곳에서 다시 플레이하려면 요새를 탈환",
"Really quit without saving?","저장하지 않고 종료하시겠습니까?",
"All of your progress since the last","마지막 저장 이후의 모든 진행 상황이",
"save will be lost.","사라질 것입니다.",
"One of the compressed files on disk has errors in it.  Restore from backup if you are able.","디스크의 압축 파일 중 하나에 오류가 있습니다. 가능한 경우 백업에서 복원합니다.",
"Are you sure you want to delete this active world?","이 활성 세계를 삭제하시겠습니까?",
"All active/manual/autosaves there will be deleted!","관련된 모든 활성/수동/자동 저장이 삭제될 것입니다!",
"Save to timeline folder: ","타임라인 폴더에 저장:",
"Multiple copies of the timeline found.","타임라인의 중복된 사본이 발견되었습니다.",
"What would you like to name this timeline?","이 타임라인의 이름을 무엇으로 하시겠습니까?",
"Saves starting here will be grouped on the","이곳에서 시작되는 세이브들은 타이틀 화면에서",
"title screen, with their own active save.","별도의 활성 세이브로 그룹화될 것입니다.",
"Clicking delete will instantly delete this game!","삭제를 클릭하면 이 게임은 즉시 삭제됩니다!",
"Clicking delete will instantly delete!","삭제를 클릭하면 즉시 삭제됩니다!",
"Don't click it unless you're sure you want to delete it.","삭제하길 원한다고 확신하지 않는다면 클릭하지 마십시오.",
"(only this inactive copy will be deleted)","(이 비활성 사본만 삭제될 것입니다)",
"(no other folders will be deleted)","(다른 폴더는 삭제되지 않습니다)",
"Warning!  The following embark profile name is already in use:","경고! 다음 정착 프로필 이름이 이미 사용중입니다:",
"Overwrite","덮어쓰기",
"Go back","뒤로 가기",
"To save these settings, choose a name for this embark profile:","이 설정을 저장하려면, 정착 프로필의 이름을 정하세요:",
"World debug","월드 디버그",
"Track playing: "," 트랙 재생중: ",
"Last track: "," 마지막 트랙: ",
"Interlude playing: "," 간주곡 재생중: ",
"Last interlude: "," 마지막 간주곡: ",
