text,translation,tags
"Number of Night Troll Types","밤 트롤 유형 수",
"Number of Demon Types","악마 유형 수",
"Number of Bogeyman Types","부기맨 유형 수",
"Number of Nightmare Types","악몽 유형 수",
"Number of Vampire Curse Types","뱀파이어 저주 유형 수",
"Number of Werebeast Curse Types","웨어비스트 저주 유형 수",
"Werebeast Attack Population Rating","웨어비스트 공격 인구 등급",
"Werebeast Attack Created Wealth Rating","웨어비스트 공격 생성 자산 등급",
"Werebeast Attack Exported Wealth Rating","웨어비스트 공격 수출 자산 등급",
"Number of Secret Types","비밀 유형 수",
"Number of Regional Interaction Types","지역 상호작용 유형 수",
"Number of Disturbance Interaction Types","소란 상호작용 유형 수",
"Number of Evil Cloud Types","사악한 구름 유형 수",
"Number of Evil Rain Types","사악한 비 유형 수",
"Generate Mythical Materials","신화적 재료 생성",
"Generate Divine Materials","신성한 재료 생성",
"Allow Mythical Healing","신화적 치유 허용",
"Allow Divination","점술 허용",
"Allow Necromancer Experiments","강령술사 실험 허용",
"Allow Demonic Experiments","악마 실험 허용",
"Allow Necromancer Lieutenants","강령술사 부관 허용",
"Allow Necromancer Ghouls","강령술사 구울 허용",
"Allow Necromancer Summons","강령술사 소환 허용",
"Desired Good Square Count in Large Subregions","대형 하위 지역의 희망 선한 타일 수",
"Desired Good Square Count in Medium Subregions","중형 하위 지역의 희망 선한 타일 수",
"Desired Good Square Count in Small Subregions","소형 하위 지역의 희망 선한 타일 수",
"Desired Evil Square Count in Small Subregions","소형 하위 지역의 희망 사악한 타일 수",
"Minimum Initial Wetland Square Count","최소 초기 습지 타일 수",
"Desired Evil Square Count in Medium Subregions","중형 하위 지역의 희망 사악한 타일 수",
"Minimum Initial Wetland Region Count","최소 초기 습지 지역 수",
"Desired Evil Square Count in Large Subregions","대형 하위 지역의 희망 사악한 타일 수",
"Minimum Final Wetland Region Count","최소 최종 습지 지역 수",
"Minimum Initial Desert Square Count","최소 초기 사막 타일 수",
"Minimum Initial Desert Region Count","최소 초기 사막 지역 수",
"Minimum Final Desert Region Count","최소 최종 사막 지역 수",
"Minimum Initial Forest Square Count","최소 초기 숲 타일 수",
"Minimum Initial Forest Region Count","최소 초기 숲 지역 수",
"Minimum Final Forest Region Count","최소 최종 숲 지역 수",
"Minimum Initial Mountains Square Count","최소 초기 산악 타일 수",
"Minimum Initial Mountains Region Count","최소 초기 산악 지역 수",
"Minimum Final Mountains Region Count","최소 최종 산악 지역 수",
"Minimum Initial Ocean Square Count","최소 초기 바다 타일 수",
"Minimum Initial Ocean Region Count","최소 초기 바다 지역 수",
"Minimum Final Glacier Region Count","최소 최종 빙하 지역 수",
"Minimum Initial Glacier Square Count","최소 초기 빙하 타일 수",
"Minimum Initial Glacier Region Count","최소 초기 빙하 지역 수",
"Minimum Final Ocean Region Count","최소 최종 바다 지역 수",
"Minimum Initial Tundra Square Count","최소 초기 툰드라 타일 수",
"Minimum Initial Tundra Region Count","최소 초기 툰드라 지역 수",
"Minimum Initial Grassland Square Count","최소 초기 초원 타일 수",
"Minimum Final Tundra Region Count","최소 최종 툰드라 지역 수",
"Minimum Initial Grassland Region Count","최소 초기 초원 지역 수",
"Minimum Final Grassland Region Count","최소 최종 초원 지역 수",
"Minimum Final Hills Region Count","최소 최종 언덕 지역 수",
"Minimum Initial Hills Square Count","최소 초기 언덕 타일 수",
"Minimum Initial Hills Region Count","최소 초기 언덕 지역 수",
"Erosion Cycle Count","침식 주기 횟수",
"Minimum River Start Locations (Pre-Erosion)","최소 강 시작 지점 (침식 전)",
"Periodically Erode Extreme Cliffs","극단적인 절벽 주기적 침식",
"Desired River Start Locations (Post-Erosion)","희망 강 시작 지점 (침식 후)",
"Do Orographic Precipitation and Rain Shadows","지형성 강우 및 비그늘 효과 적용",
"Cavern Layer Number","동굴 층 수",
"Maximum Number of Subregions","최대 하위 지역 수",
"Cavern Layer Openness Min","동굴 층 개방도 최소",
"Cavern Layer Openness Max","동굴 층 개방도 최대",
"Cavern Layer Passage Density Min","동굴 층 통로 밀도 최소",
"Cavern Layer Passage Density Max","동굴 층 통로 밀도 최대",
"Cavern Layer Water Max","동굴 층 수량 최대",
"Bottom Layer (Forces Magma)","바닥 층 (마그마 강제)",
"Z Levels Above Ground","지상 Z 레벨",
"Magma Layer","마그마 층",
"Cavern Layer Water Min","동굴 층 수량 최소",
"Z Levels Above Layer 1","1층 위 Z 레벨",
"Z Levels Above Layer 2","2층 위 Z 레벨",
"Z Levels Above Layer 3","3층 위 Z 레벨",
"Z Levels Above Layer 4","4층 위 Z 레벨",
"Z Levels Above Layer 5","5층 위 Z 레벨",
"Z Levels At Bottom","바닥 Z 레벨",
"Maximum Natural Cave Size","최대 자연 동굴 크기",
"Minimum Natural Cave Size","최소 자연 동굴 크기",
"Number of Mountain Caves","산악 동굴 수",
"Number of Non-Mountain Caves","비산악 동굴 수",
"Number of Mythical Sites","신화적 거점 수",
"Number of Civilizations","문명 수",
"Playable Civilization Required","플레이 가능한 문명 필요",
"Allow Init Embark Options to Show Tunnels","초기 정착 옵션에 터널 표시 허용",
"Make Caves Visible","동굴 표시",
"Minimum Number of High-Volcanism Squares","최소 고화산 활동 타일 수",
"Minimum Number of Mid-Volcanism Squares","최소 중화산 활동 타일 수",
"Minimum Number of Low-Volcanism Squares","최소 저화산 활동 타일 수",
"Minimum Number of High-Elevation Squares","최소 고고도 타일 수",
"Minimum Number of Mid-Elevation Squares","최소 중고도 타일 수",
"Minimum Number of Low-Elevation Squares","최소 저고도 타일 수",
"Minimum Number of High-Drainage Squares","최소 고배수 타일 수",
"Minimum Number of Mid-Drainage Squares","최소 중배수 타일 수",
"Minimum Number of Low-Drainage Squares","최소 저배수 타일 수",
"Minimum Number of High-Rain Squares","최소 고강우 타일 수",
"Minimum Number of Mid-Rain Squares","최소 중강우 타일 수",
"Minimum Number of Low-Rain Squares","최소 저강우 타일 수",
"Minimum Number of High-Savagery Squares","최소 고야생도 타일 수",
"Minimum Number of Mid-Savagery Squares","최소 중야생도 타일 수",
"Minimum Number of Low-Savagery Squares","최소 저야생도 타일 수",
"Detailed mode","상세 모드",
"Pocket","소형",
"Very high","매우 높음",
"Large","대형",
"Very low","매우 낮음",
"Back to main menu","메인 메뉴로 돌아가기",
"Mineral occurrence","광물 발생",
"Low","낮음",
"Smaller","더 작음",
"History length","역사 길이",
"Number of civilizations","문명 수",
"Maximum number of sites","최대 거점 수",
"Very rare","매우 희귀",
"Max","최대",
"High","높음",
"Sparse","희박",
"Small","소형",
"Number of beasts","야수 수",
"Medium","중형",
"Frequent","빈번",
"Rare","희귀",
"Natural savagery","자연 야생도",
"Everywhere","어디에나",
"World map size","세계 지도 크기",
"Create world","세계 생성",
