text,translation,tags
"Surrounded by empty space", "비어있는 공간에 둘러싸임",
"Click a tile to place the Trade Depot.","타일을 클릭하여 교역소를 배치하세요.",
"Click a tile to place the Stoneworker's Workshop.","타일을 클릭하여 석공 작업장을 배치하십시오.",
"Click a tile to place the Jeweler's Workshop.","타일을 클릭하여 보석 세공 작업장을 배치하십시오.",
"Click a tile to place the Magma Forge.","타일을 클릭하여 마그마 대장간를 배치하십시오.",
"Click a tile to place the Mechanic's Workshop.","타일을 클릭하여 기계공 작업장을 배치하십시오.",
"Click a tile to place the Metalsmith's Forge.","타일을 클릭하여 금속 대장간을 배치하십시오.",
"Click a tile to place the Screw Press.","타일을 클릭하여 스크류 압착기를 배치하십시오.",
"Click a tile to place the Siege Workshop.","타일을 클릭하여 공성 무기 작업장을 배치하십시오.",
"Click a tile to place the Soap Maker's Workshop.","타일을 클릭하여 비누 제작 작업장을 배치하십시오.",
"Click a tile to place the Craftsdwarf's Workshop.","타일을 클릭하여 공예 작업장을 배치하십시오.",
"Click a tile to place the Carpenter's Workshop.","타일을 클릭하여 목수 작업장을 배치하십시오.",
"Click a tile to place the Bowyer's Workshop.","타일을 클릭하여 활 제작 작업장을 배치하십시오.",
"Click a tile to place the Ashery.","타일을 클릭하여 회분 처리장을 배치하십시오.",
"Click a tile to place the Leather Works.","타일을 클릭하여 가죽 세공소를 배치하십시오.",
"Click a tile to place the Loom.","타일을 클릭하여 베틀을 배치하십시오.",
"Click a tile to place the Clothier's Shop.","타일을 클릭하여 의류 작업장을 배치하십시오.",
"Click a tile to place the Dyer's Shop.","타일을 클릭하여 염색 작업장을 배치하십시오.",
"Click a tile to be a corner of the Farm Plot.","타일을 클릭하여 경작지의 모서리를 지정하십시오.",
"Click a tile to place the Still.","타일을 클릭하여 증류소를 배치하십시오.",
"Click a tile to place the Butcher's Shop.","타일을 클릭하여 도축 작업장을 배치하십시오.",
"Click a tile to place the Tanner's Shop.","타일을 클릭하여 무두질 작업장을 배치하십시오.",
"Click a tile to place the Fishery.","타일을 클릭하여 어장을 배치하십시오.",
"Click a tile to place the Kitchen.","타일을 클릭하여 주방을 배치하십시오.",
"Click a tile to place the Farmer's Workshop.","타일을 클릭하여 농부 작업장을 배치하십시오.",
"Click a tile to place the Quern.","타일을 클릭하여 맷돌을 배치하십시오.",
"Click a tile to place the Vermin Catcher's Shop.","타일을 클릭하여 해충 포획 작업장을 배치하십시오.",
"Click a tile to place the Nest Box.","타일을 클릭하여 둥지 상자를 배치하십시오.",
"Click a tile to place the Hive.","타일을 클릭하여 벌통을 배치하십시오.",
"Click a tile to place the Glass Furnace.","타일을 클릭하여 유리 가마를 배치하십시오.",
"Click a tile to place the Kiln.","타일을 클릭하여 가마를 배치하십시오.",
"Click a tile to place the Magma Glass Furnace.","타일을 클릭하여 마그마 유리 가마를 배치하십시오.",
"Click a tile to place the Magma Kiln.","타일을 클릭하여 마그마 가마를 배치하십시오.",
"Click a tile to place the Magma Smelter.","타일을 클릭하여 마그마 제련소를 배치하십시오.",
"Click a tile to place the Smelter.","타일을 클릭하여 제련소를 배치하십시오.",
"Click a tile to place the Wood Furnace.","타일을 클릭하여 숯 가마를 배치하십시오.",
"Click a tile to place the Bed.","타일을 클릭하여 침대를 배치하십시오.",
"Click a tile to place the Seat.","타일을 클릭하여 의자를 배치하십시오.",
"Click a tile to place the Table.","타일을 클릭하여 탁자를 배치하십시오.",
"Click a tile to place the Container.","타일을 클릭하여 보관함을 배치하십시오.",
"Click a tile to place the Cabinet.","타일을 클릭하여 수납장을 배치하십시오.",
"Click a tile to place the Burial Receptacle.","타일을 클릭하여 매장 용기를 배치하십시오.",
"Click a tile to place the Slab.","타일을 클릭하여 석판을 배치하십시오.",
"Click a tile to place the Statue.","타일을 클릭하여 조각상을 배치하십시오.",
"Click a tile to place the Traction Bench.","타일을 클릭하여 견인 치료대를 배치하십시오.",
"Click a tile to place the Bookcase.","타일을 클릭하여 책장을 배치하십시오.",
"Click a tile to place the Display Furniture.","타일을 클릭하여 전시 가구를 배치하십시오.",
"Click a tile to place the Offering Place.","타일을 클릭하여 제단을 배치하십시오.",
"Click a tile to place the Instrument.","타일을 클릭하여 악기를 배치하십시오.",
"Click a tile to place the Door.","타일을 클릭하여 문을 배치하십시오.",
"Click a tile to place the Floor Hatch.","타일을 클릭하여 바닥 해치를 배치하십시오.",
"Click a tile to be a corner of the Wall.","타일을 클릭하여 벽의 모서리를 지정하십시오.",
"Click a tile to be a corner of the Reinforced Wall.","타일을 클릭하여 강화 벽의 모서리를 지정하십시오.",
"Click a tile to be a corner of the Floor.","타일을 클릭하여 바닥의 모서리를 지정하십시오.",
"Click a tile to be a corner of the Ramp.","타일을 클릭하여 경사로의 모서리를 지정하십시오.",
"Click a tile to be one end of the Stairs.","타일을 클릭하여 계단의 한쪽 끝을 지정하십시오.",
"Click a tile to be a corner of the Bridge.","타일을 클릭하여 다리의 모서리를 지정하십시오.",
"Click a tile to be a corner of the Paved Road.","타일을 클릭하여 포장도로의 모서리를 지정하십시오.",
"Click a tile to be a corner of the Dirt Road.","타일을 클릭하여 비포장도로의 모서리를 지정하십시오.",
"Click a tile to be a corner of the Fortification.","타일을 클릭하여 총안구의 모서리를 지정하십시오.",
"Click a tile to place the Wall Grate.","타일을 클릭하여 벽 격자를 배치하십시오.",
"Click a tile to place the Floor Grate.","타일을 클릭하여 바닥 격자를 배치하십시오.",
"Click a tile to place the Vertical Bars.","타일을 클릭하여 수직 창살을 배치하십시오.",
"Click a tile to place the Floor Bars.","타일을 클릭하여 바닥 창살을 배치하십시오.",
"Click a tile to place the Glass Window.","타일을 클릭하여 유리 창문을 배치하십시오.",
"Click a tile to place the Gem Window.","타일을 클릭하여 보석 창문을 배치하십시오.",
"Click a tile to place the Support.","타일을 클릭하여 지지대를 배치하십시오.",
"Click a tile to be one end of the Track.","타일을 클릭하여 선로의 한쪽 끝을 지정하십시오.",
"Click a tile to place the Track Stop.","타일을 클릭하여 선로 정지 장치를 배치하십시오.",
"Click a tile to place the Lever.","타일을 클릭하여 레버를 배치하십시오.",
"Click a tile to place the Well.","타일을 클릭하여 우물을 배치하십시오.",
"Click a tile to place the Floodgate.","타일을 클릭하여 수문을 배치하십시오.",
"Click a tile to place the Screw Pump.","타일을 클릭하여 스크류 펌프를 배치하십시오.",
"Click a tile to place the Water Wheel.","타일을 클릭하여 물레방아를 배치하십시오.",
"Click a tile to place the Windmill.","타일을 클릭하여 풍차를 배치하십시오.",
"Click a tile to place the Gear Assembly.","타일을 클릭하여 기어 조립체를 배치하십시오.",
"Click a tile to be one end of the Horizontal Axle.","타일을 클릭하여 수평 축의 한쪽 끝을 지정하십시오.",
"Click a tile to place the Vertical Axle.","타일을 클릭하여 수직 축을 배치하십시오.",
"Click a tile to place the Millstone.","타일을 클릭하여 맷돌을 배치하십시오.",
"Click a tile to be one end of the Rollers.","타일을 클릭하여 롤러의 한쪽 끝을 지정하십시오.",
"Click a tile to place the Restraint.","타일을 클릭하여 구속구를 배치하십시오.",
"Click a tile to place the Cage.","타일을 클릭하여 우리를 배치하십시오.",
"Click a tile to place the Animal Trap.","타일을 클릭하여 동물 덫을 배치하십시오.",
"Click a tile to place the Pressure Plate.","타일을 클릭하여 압력판을 배치하십시오.",
"Click a tile to place the Stone-Fall Trap.","타일을 클릭하여 낙석 함정을 배치하십시오.",
"Click a tile to place the Weapon Trap.","타일을 클릭하여 무기 함정을 배치하십시오.",
"Click a tile to place the Cage Trap.","타일을 클릭하여 우리 함정을 배치하십시오.",
"Click a tile to place the Upright Spear/Spike.","타일을 클릭하여 수직 창/가시를 배치하십시오.",
"Click a tile to place the Archery Target.","타일을 클릭하여 궁술 과녁을 배치하십시오.",
"Click a tile to place the Weapon Rack.","타일을 클릭하여 무기 거치대를 배치하십시오.",
"Click a tile to place the Armor Stand.","타일을 클릭하여 방어구 거치대를 배치하십시오.",
"Click a tile to place the Ballista.","타일을 클릭하여 발리스타를 배치하십시오.",
"Click a tile to place the Catapult.","타일을 클릭하여 투석기를 배치하십시오.",
"Click a tile to place the Bolt Thrower.","타일을 클릭하여 볼트 발사기를 배치하십시오.",


"여러곳들의 왼쪽 위 버튼 툴팁들","------------------------------------------------------------------------------",
"Regular mining","일반 채굴",
"Stair mining","계단 채굴",
"Ramp mining","경사로 채굴",
"Channel mining","수로 채굴",
"Removing stairs/ramp/constructions","계단/경사로/건설물 제거",
"Chopping trees","나무 벌목",
"Gathering fruit and leaves","열매 및 잎 채집",
"Smoothing rough floors and walls","거친 바닥 및 벽 다듬기",
"Engraving smoothed floors and walls","다듬어진 바닥 및 벽에 조각하기",
"Carving tracks in floor","바닥에 궤도 새기기",
"Carving fortifications through walls","벽에 총안구 새기기",
"Removing mining/chopping/gathering/smoothing orders","채굴/벌목/채집/다듬기 명령 취소",
"Click an icon to add a new zone.","아이콘을 클릭하여 새 구역을 추가합니다.",
"Select a type below to add a zone.","아래에서 유형을 선택하여 구역을 추가합니다.",
"Click in the play area","게임 화면을 클릭하여",
"to paint the stockpile.","저장구역을 지정합니다.",
"to paint the burrow.","활동구역을 설정합니다.",
"Designating high traffic area","통행량이 많은 구역으로 지정 중",
"Removing traffic designations","통행 구역 지정 제거 중",
"Designating low traffic area","통행량이 적은 구역으로 지정 중",
"Designating restricted traffic area","통행 제한 구역으로 지정 중",
"Open mass removal","대량 제거",
"interface.","인터페이스를 엽니다.",
"Show advanced options.","고급 설정 보기.",
"Mark for uninterrupted","중단 없는 채굴을 위해",
"digging through damp","축축하거나 따뜻한 타일도",
"or warm tiles.","파내도록 지정합니다.",
"to paint the zone.","구역을 지정하십시오.",


"나머지곳들의 오른쪽 위 버튼 툴팁들","------------------------------------------------------------------------------",
"Add a stop to this ","이 경로에 정거장을 추가하세요.",
"route.  Minecarts will ","광산 수레는 다음과 같은",
"move between stops when ","조건이 충족될 때 정거장",
"conditions are ","사이를 이동하게",
"satisfied.","될 것입니다.",
"Assign a minecart to ","이 경로에 광산 수레를",
"this route.  Only one ","할당하십시오. 단 하나의",
"vehicle can operate on ","탈것만이 각 경로에서",
"each route.","운행될 수 있습니다.",
"Remove this stop.","이 정류장 제거.",
"Name this stop.","이 정류장 이름 짓기.",
"Load","적재",
"Unload","하역",
"Loading","적재 중",
"Unloading","하역 중",
"Set conditions for the ","광산 수레가 다음 정류장으로 ",
"minecart to move on to ","이동하기 위한 ",
"the next stop.","조건을 설정합니다.",
"Set the items desired ","이 정류장에서 광산 수레에 ",
"by the minecart at this ","싣고자 하는 아이템을 설정합니다. ",
"stop.  Items must be in ","아이템은 반드시 연결된 ",
"a linked stockpile.","비축 구역에 있어야 합니다.",
"The assigned vehicle is ","할당된 탈것이 이 ",
"at this stop.","정류장에 있습니다.",

"Click a tile to position the stop.","타일을 클릭하여 정거장 위치를 지정하십시오.",
"Building track stops is recommended!","궤도 정거장 건설을 권장합니다!",
"Name this route.","이 경로의 이름을 지정합니다.",
"Remove this route.","이 경로를 삭제합니다.",
"Are you sure you want to delete this route?","정말로 이 경로를 삭제하시겠습니까?",
"Delete hauling route ","운송 경로 삭제",
"Pause this confirmation","확인창 팝업 일시 중지",
"Yes, proceed","네, 진행합니다",

"Claiming forbidden items and buildings","금지된 물품 및 건물 사용 허가",
"Forbidding items and buildings","물품 및 건물 사용 금지",
"Designating items for dumping","물품 폐기 지정",
"Removing dumping designations","폐기 지정 해제",
"Designating items for melting","물품 용해 지정",
"Removing melting designations","용해 지정 해제",
"Revealing hidden items","숨겨진 물품 드러내기",
"Hiding items from view","물품 숨기기",

"Repaint this burrow.","이 활동구역을 다시 그립니다.",
"Toggle whether ","작업장이",
"workshops can source ","활동구역 외부에서",
"materials from outside ","재료를 가져올 수",
"the burrow.","있는지의 여부를 전환합니다.",
"Suspend this burrow.  ","이 활동구역을 중지합니다.",
"Assigned citizens will ","할당된 시민들은",
"not respect burrow ","활동구역이 중지된 동안",
"restrictions while a ","구역 제한을 따르지",
"burrow is suspended, ","않게 되지만,",
"but all tasks within ","활동구역 내의",
"the burrow will still ","모든 작업은 여전히",
"function.","기능할 것입니다.",
"Recenter on this burrow.","화면을 이 활동구역 중심으로 이동",
"Remove this burrow ","이 활동구역을",
"Remove this zone ","이 구역을",
"permanently.","영구적으로 제거합니다.",
"Are you sure you want to delete this route?","정말로 이 활동구역을 삭제하시겠습니까?",
"Suspend activities in ","이 구역의 활동을 ",
"this zone.  Does not ","중단합니다.  구역을 ",
"remove the zone.","제거하지는 않습니다.",

"Overlapping","중첩된",
"Select a rectangle","직사각형을 선택하면 ",
"which contains ","범위 내의",
"in order to form","들을 각각의 ",
"bedrooms.","침실로 설정합니다.",
"tombs.","무덤로 설정합니다.",
"throne rooms/studies.","알현실/서재로 설정합니다.",
"dining halls.","식당으로 설정합니다.",
"Rooms with multiple beds","침대가 여러 개 있는 방은 ",
"will be made into","다인용 기숙사가 됩니다.",
"dormitories.","",
"Multi","다중",[ALIGNMENT:CENTER]
"Paint","그리기",[ALIGNMENT:CENTER]

"Select this option and ","이 옵션을 선택하면 ",
"any unassigned deceased ","매장지가 지정되지 않은 사망한 ",
"citizens will be buried ","시민들을 이곳에 ",
"pets will be buried ","애완동물을 이곳에 ",
"here automatically.","자동으로 매장합니다.",
"Go to the previous zone ","이전 구역으로 이동:",
"overlapping the tile ","클릭한 타일과",
"you clicked.","겹치는 구역",
"Go to the next zone ","다음 구역으로 이동:",
"Repaint this zone.","이 구역을 다시 그립니다.",
"Assign a new or ","이 구역에 새 장소나 ",
"existing location to ","기존 장소를 ",
"this zone.  Locations ","할당합니다.  장소는 ",
"are groups of zones and ","선술집, 사원, 도서관, 또는 ",
"rooms with a larger ","공예 조합회관과 같이 ",
"purpose, like a tavern, ","더 큰 목적을 가진 ",
"a temple, a library, or ","구역과 방의 ",
"a craft guildhall.","그룹입니다.",

"Designate this zone as ","이 구역을",
"the top of a pit.  ","구덩이의 꼭대기로 지정합니다. ",
"Citizens will not fill ","시민들은 아래 구덩이를 물로 ",
"the pit below with ","채우지 않을 ",
"water.","것입니다.",
"Designate this zone as ","이 구역을",
"the top of a pond.  ","연못의 꼭대기로 지정합니다. ",
"Citizens will bring ","아래 연못이 채워지지 ",
"buckets of water if the ","않으면 시민들이 ",
"pond below isn't filled.","양동이로 물을 가져올 것입니다.",

"Select animals to be ","동물들을 선택해 ",
"dropped into the pit or ","이 구역 아래의 구덩이나 ",
"pond below this zone.  ","연못에 떨어뜨립니다. ",
"Animals will not feel ","동물들은 탈출할 수 있다면 ",
"obligated to stay if ","굳이 머무르려 하지 ",
"they can find a way out.","않을 것입니다.",
"placed in this pasture ","이 구역 아래의 목초지 구역에 ",
"zone.  They will stay ","배치합니다.  동물들은 ",
"after being led here.","이곳으로 인도된 후에 머무를 것입니다.",
"Gather fruit in trees ","이 구역 내부와 바로 위의 ",
"in and just above this ","나무에서 과일을 ",
"zone.  Requires a ","채집합니다.  사다리가 ",
"stepladder.","필요합니다.",
"Gather fruit and ","이 구역의 관목에서 ",
"vegetables from shrubs ","과일과 채소를 ",
"in this zone.","채집합니다.",
"Gather fallen fruit in ","이 구역에서 떨어진 ",
"this zone.","과일을 줍습니다.",
"Set details for the ","할당된 장소에 대한 ",
"assigned location.","세부 정보를 설정합니다.",
"Choose which squads ","이 병영를 사용할 ",
"will use this barracks.","분대를 선택합니다.",

"Autoassign to holder of role:","다음 역할을 가진 이에게 자동 할당:",
"Add or choose a location.","장소를 추가하거나 선택합니다.",
"New inn/tavern","새 여관/선술집",
"New temple","새 사원",
"New library","새 도서관",
"New guildhall","새 조합회관",
"New hospital","새 병원",

"Choose a symbol for the burrow.","활동구역의 상징을 선택하십시오.",
"Flood fill on double click:","더블 클릭 시 채우기 기능:",
"2D fill enabled","2D 채우기 활성화",
"3D fill enabled","3D 채우기 활성화",
"Symbol","상징",[ALIGNMENT:CENTER]
"Background","배경",[ALIGNMENT:CENTER]

"Open the stocks window, ","재고 창을 엽니다,",
"where you can see all ","이곳에서 요새의 든 물품을 ",
"of your fortress's ","모확인할 수 있습니다.",
"items.","",
"Edit the recenter ","화면 이동 단축키 위치를",
"hotkey locations.","편집합니다.",
"Recenter on this ","해당 위치로",
"Set this entry to ","이 항목에 현재 화면 위치를 ",
"recenter on the current ","저장하여 해당 위치로 바로 ",
"view.","이동하도록 설정합니다.",
"Clear this recenter ","이 화면 이동 단축키 ",
"hotkey location.","위치를 초기화합니다.",
"Reassign or clear zoom hotkeys","확대 단축키 재지정 또는 초기화",
"Are you sure you want to reassign this zoom","정말로 이 확대 단축키를 ",
"hotkey?","다시 지정하시겠습니까?",
"Recenter on the surface ","이 위치의 지표면으로",
"at this location.","화면을 이동합니다.",
"Recenter on the deepest ","이 위치에서 발견된",
"discovered area at this ","가장 깊은 구역으로",
"location.","화면을 이동합니다.",
"Zoom in on the play ","플레이 영역을 확대합니다.",
"area.","",
"Zoom out from the play ","플레이 영역을 축소합니다.",
"Display water and magma ","물과 마그마의 깊이를",
"depth numerically (1 to ","수치로 표시합니다(1~",
"Show up and down arrows ","현재 고도의 경사로 위에",
"over ramps at the ","위/아래 화살표를",
"current elevation.","표시합니다.",

"Name this building.","이 건물의 이름을 짓습니다.",
"Remove this building.","이 건물을 제거합니다.",
"Add stockpile links for ","저장구역을 ",
"this workshop.","이 작업장에 연결합니다.",

"This item is a ","이 물품은 ",
"permanent part of the ","건물의 일체화된 부분입니다.",
"building.  Forbid and ","여기서 설정한 ",
